"correlation","mean","median","min","quantile05","quantile25","quantile75","quantile95","max","sd"
"r.wcnCA.r4sJC",-0.229184737012904,-0.238541091317926,-0.53530594024459,-0.426304722319744,-0.33150378870796,-0.131795690437959,0.019025345010535,0.137365926235789,0.131189161967356
"r.wcnSC.r4sJC",-0.319791475977486,-0.32732213754571,-0.589806730790073,-0.51035473808495,-0.408977601057266,-0.231744651083701,-0.11659798958385,0.0967200626654862,0.127115700358189
"r.rsa.r4sJC",0.0734671530768266,0.0778343532601472,-0.203936659670502,-0.123757606554345,-0.0157174199138377,0.152910528765753,0.249276938184252,0.2948869812543,0.112395258642416
"r.vareaSC.r4sJC",0.0962154569988083,0.0920301780048516,-0.116364045984625,-0.0261383436304062,0.0429691630843953,0.15370133396886,0.212491912649325,0.278306476258291,0.075375730556679
"r.vvolumeCA.r4sJC",0.0997542265760023,0.108290510283799,-0.124144018312023,-0.0318930552144126,0.0578351248613572,0.146191932554935,0.213798306731981,0.27223795549394,0.0723342473054125
"r.ddgent.r4sJC",0.152666136834523,0.156574448290468,-0.0903776537407195,-0.0138024803477239,0.0921736650308888,0.217275271348374,0.304010344602161,0.362601067156891,0.0962863774484548
"r.vareaCA.r4sJC",0.112085133211913,0.118975389883481,-0.101617931803793,-0.0216876302070129,0.0624113420308824,0.160995207831112,0.219847487749058,0.270737913713586,0.0736474102076812
"r.bfSC.r4sJC",0.1558977355595,0.171631041064703,-0.260052738368125,-0.0887564672087192,0.0511373807220668,0.257345580066373,0.378756654318199,0.566090223941354,0.144959964562163
"r.hbe.r4sJC",0.0616677791809827,0.062951100163308,-0.220905956069669,-0.104443033015826,0.000518624299539898,0.126588259588123,0.211880278310219,0.366106605896779,0.0978915197471176
"r.distance.r4sJC",0.283901063573215,0.289129234533354,-0.177642175209744,0.0379391088922314,0.186706438650529,0.391585955448169,0.544529055036045,0.617245449494433,0.1542364896769
"r.bfSC.distance",0.300977208876916,0.315344492318172,-0.281521506527721,-0.0179863493673896,0.203461027641878,0.423447760478994,0.536862229290059,0.677191043433358,0.171253851882211
"r.bfSC.wcnSC",-0.385136424263504,-0.405062852588031,-0.705141770051001,-0.5964940483134,-0.473909339993347,-0.289943994415889,-0.117205701691463,0.0579863949596066,0.143622545046992
"r.distance.wcnSC",-0.858485964355557,-0.867583454367495,-0.943091132011492,-0.922562615758966,-0.894622610937645,-0.834558299078278,-0.765484653405889,-0.511166123934458,0.0533112015820293
"r.distance.vareaSC",0.26948767044463,0.270978619123704,0.0235268316739774,0.0949165295324241,0.192906544492771,0.352375428053278,0.430297168105777,0.542387935206244,0.103309590245753
"r.wcnSC.vareaSC",-0.370239240470829,-0.374893424590592,-0.556450977297126,-0.494429343941969,-0.425844821689901,-0.311243650039898,-0.233621052703412,-0.167782969589541,0.0783037250543475
